Teacher Name,Department + Class,Rating,Comment,Rating ID
James Madison University - Bruce Johnson GENG221,GENG221 English,5,I LOVE BRUCE.  Such a cool guy and one of the BEST english profs I have ever had.  I read the assinged books and worked hard on the papers but i loved it!  I had more fun and learned more in his class than several classes combined.  TAKE Bruce but be prepared to write thorogh papers,UmF0aW5nLTIxNTI4ODU0
James Madison University - Bruce Johnson GENG221,GENG221 English,5,"Dr Johnson is amazing. I know way more about CS Lewis than I ever wanted but he made the class as easy as possible. Reading quiz every class but they're easy questions and you grade it yourself; at the very least sparknote it and you'll do okay. Gives random points out, but 2 big papers he grades pretty tough on. Weird but easy and enjoyable GenEd",UmF0aW5nLTMzMjk2OTAz
James Madison University - Bruce Johnson ENG299,ENG299 English,4,"Definitely suggest taking him. Interesting readings, great lectures, funny guy. He can be a bit of a tough grader on papers, but it will only make you better, and he's totally willing to work with you. Great class, awesome professor!",UmF0aW5nLTI2MjIxMzgx
James Madison University - Bruce Johnson ENG315,ENG315 English,3,"The class was titled &quot;17th Century British Poetry&quot; & should have been titled &quot;17th Century British History&quot; Although he is a nice guy & a good teacher, he was not good at teaching this class. We rarely discussed the poems and the paper assignments were unreasonable and vague. My advice, take Johnson but a different class that he teaches.",UmF0aW5nLTEzOTk3Nzk3
Georgia Southern University - Armstrong - William Martin ENGL2000,ENGL2000 English,3,"Difficult class, but well worth the effort.  You'll come out of the class with a very good understanding of the material that was covered.",UmF0aW5nLTEyNDI5MDI3
Georgia Southern University - Armstrong - William Martin ENGL2100,ENGL2100 English,2,No Comments,UmF0aW5nLTEwNTMzNDc3
Georgia Southern University - Armstrong - William Martin ENGLISH2100,ENGLISH2100 English,1,He was hardcore,UmF0aW5nLTEyMTUyMTMw
Georgia Southern University - Armstrong - William Martin ENG1102,ENG1102 English,2,"smart man, however he made me feel soooo stupid during his class.  he was a tough teacher.  grades harshly.",UmF0aW5nLTExODQyNjU4
Georgia Southern University - Armstrong - William Martin ENG102,ENG102 English,2,"He's the worst teacher they have at AASU. If you want an F than take him, yeah he's smart but he's  really rude and likes embarassing students if they don't know something. Fire him!",UmF0aW5nLTM2Njc1MDI=
Georgia Southern University - Armstrong - William Martin ENGL1102,ENGL1102 English,4,"Very Bright.  He is also very hard.  If you take Mr. Martin, do so knowing this.  He is not going to give you anything.  You are going to have to work for every point.  I received a B in his class; a hard B.  Looking back, I wouldn't have had it any other way.  If you are serious about college and being a good student, I recommend him.",UmF0aW5nLTM4NjU1NTE=
Georgia Southern University - Armstrong - William Martin ENG2100,ENG2100 English,1,"Never ever take him on a summer semester.  He will not slack up a bit.  He uses the statement that he will not dumb down the corse just because of the short length.  In the end that is exactly what he does, since you have to cram 5 substantial novel in and be able to grasp their full meanings.",UmF0aW5nLTEwMDg4MTE3
Georgia Southern University - Armstrong - William Martin ENGL,ENGL English,1,"IF YOU TAKE THIS MAN, YOU ARE ASKING TO FAIL!",UmF0aW5nLTI5NTUwMzg=
Georgia Southern University - Armstrong - William Martin ENG2100,ENG2100 English,4,PROFESSOR IS EXTREMELY INTELLIGENT. HE IS ALSO RUDE AND DOESN'T MIND EMBARASSING HIS STUDENTS.  HE WILL HELP YOU IF YOU ASK HIM.,UmF0aW5nLTExMDE2NzU3
Georgia Southern University - Armstrong - William Martin ENG1102,ENG1102 English,4,No Comments,UmF0aW5nLTEwOTgwMjk3
Georgia Southern University - Armstrong - William Martin ENGLISH1101,ENGLISH1101 English,3,"DO NOT TAKE THIS PROFESSOR, IF YOU ARE NOT A HARD WORKER",UmF0aW5nLTEwMDM5MjEw
Georgia Southern University - Armstrong - William Martin ENG101,ENG101 English,5,"No, he's not easy, but he is a great teacher.  You will work for what you get, but he grades fairly. One of the best to help you correct all those immature, high school mistakes. If you're intersted in an education, take him.",UmF0aW5nLTEwMjc2ODQ5
Georgia Southern University - Armstrong - William Martin ENGLISH2100,ENGLISH2100 English,5,"It seems that his 1101 and 1102 classes are pretty hard.  His 2100 class is only reading novels, which are not hard at all.  For example: The Great Gatsby.  Two small papers and an essay midterm and final.  He is very smart and like everyone else says he doesn't give away grades.",UmF0aW5nLTEwOTkyMzIw
Georgia Southern University - Armstrong - William Martin ENGL1102,ENGL1102 English,4,"He's not an easy A, but he's a lot of fun. He's a funny, old, bald man with a crazy hearing problem. He's really old fashioned about the way he runs his classroom. If you're chronically tardy, you may as well expect an F. He takes an absent for each tardy. He is a lot of fun and he really knows what he's talking about.",UmF0aW5nLTExMjY4NDk0
Georgia Southern University - Armstrong - William Martin ENG1101,ENG1101 English,3,"His class discussions were a joke. Weeks of worksheets on the difference between it's, its, there, they're, their, to, too... etc. etc.  When it came time to have papers graded it was surprising to see I had a C-!! He didn't grade on what he taught at all. I would definitely NOT take his class.",UmF0aW5nLTMzNjAxMTg=
Georgia Southern University - Armstrong - William Martin RGTE0199,RGTE0199 English,1,I am a foreign student who had a B in English 1 and an A in English 2. I was advised to take a composition review before taking the Regents tests. Failed his class but passed the Regents test right away.  Please do not take him!!!,UmF0aW5nLTMyMzk1Mjc=
Georgia Southern University - Armstrong - William Martin ENG102,ENG102 English,5,Martin's poetry class was the best class I ever had. He is also the finest teacher I have thus far encountered. He is a consummate teacher and performer. A wonderful person. I loved the lesson and the pleasure.,UmF0aW5nLTE4MDI1MjA3
Georgia Southern University - Armstrong - William Martin 101,101 English,2,Super good professor,UmF0aW5nLTIzMDYwMjU3
Georgia Southern University - Armstrong - William Martin ENG11011102,ENG11011102 English,5,"If you think that English is supposed to be easy then don't take his class. If you have a problem with someone that demands that you respect him and his profession, then don't take him. I enjoyed everything that I have learned in his classes. I have taken three English classes with him. Loved him.",UmF0aW5nLTMyNjY5MDE=
Georgia Southern University - Armstrong - William Martin ENGL2100,ENGL2100 English,3,"Not easy.  I got an A but worked for it.  Will write comments like &quot;Nice paper - C&quot;.  Lectures during class.  Do well on reading checks and papers and you're fine.  Will definitely call people out on stuff -- doesn't mind embarassing people, but sincerely helpful if you ask for it.",UmF0aW5nLTExMTkxMTEx
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,2,Just wants to help but was not very good at explaining herself. Her classes are behind the labs so you will show up to lab and just be sitting there clueless and the Lab TA's do not help at all. It's pretty bad because it could have been a great class if taught right.,UmF0aW5nLTIzMDE1NzY0
University of Delaware - Kathleen McCoy CISC280,CISC280 Computer Science,4,Good teacher for a hard class. :),UmF0aW5nLTI5MDU2NzQ=
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,2,She is a very nice woman who definitely means well but most of the time she seems really confused. She spends too much class time going over old material and barely addresses new material that we need to know for labs. We didn't learn Java but were thrown into a java lab. i recommend taking another professor.,UmF0aW5nLTIxNzY0OTky
University of Delaware - Kathleen McCoy CISC890,CISC890 Computer Science,5,"On new graduate student orientation, professor McCoy as our chair gave an inspirational speech to welcome everyone. She has the vision of a real scientist, and her speech connects to my heart. I feel that I could be someone that really use my research to change the world. I want to thank her for extending my funding, a great caring professor.",UmF0aW5nLTI5Mzc1NzQz
University of Delaware - Kathleen McCoy CISC681,CISC681 Computer Science,5,"Extremely nice, caring, compassionate professor.  Tests are appropriately difficult.  Not the easiest class but easy to do well if you study and give it the attention it deserves.",UmF0aW5nLTEwMTA1OTIx
University of Delaware - Kathleen McCoy CISC280,CISC280 Computer Science,1,No Comments,UmF0aW5nLTIzNzUwMjc=
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,2,"While she is a very kind person, who genuinely does want to help, half the the time she seems like she has no idea what she is doing or talking about. We spend a lot of class time watching her try to figure out how her computer works. She constantly second guesses herself which leaves everyone very confused.",UmF0aW5nLTIzMjg0NTU4
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,5,"Very good professor who really wants to help her students understand computer science. If you are having trouble understanding the material by all means, go to office hours. She is extremely helpful and will help teach you through the labs explaining the concepts necessary to complete them.",UmF0aW5nLTIyODQ4NDQw
University of Delaware - Kathleen McCoy CISC101,CISC101 Computer Science,4,"Very soft, encouraging, and kind. Gives great feedback and really helps with writing. Does one on one meetings with students in order to make sure each one gets in depth feedback on all papers.",UmF0aW5nLTM1Mzg5NzE2
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,1,"Dr. McCoy is freaking clown shoes. Like Eli, she is the best mayne, she deed it. That means she's completely awful. She once did check-expects for 40 minutes until she realized she was doing it wrong and then proceeded to correct herself for another 10-15 minutes, and then for the remaining 20 taught the material she intended, poorly at that.",UmF0aW5nLTE4NDgyNTI2
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,2,"She means well, but fails at every other aspect. She assumes the class understands what's going on bc she really doesn't. She constantly is second guessing herself which doesn't help the class progress,& she rarely covers a topic before the required lab because she spends too much time taking attendance or doing something wrong. Take w another prof",UmF0aW5nLTIxNjI3Mjk4
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,2,"The class is basically based on the lab. Unfortunately the lectures sometimes don't cover lab material in time so you find yourself stuck sometimes. Office hours are going to have to be part of your schedule to pass. Oh, and it's a problem when a computer science professor doesn't know how to hook a laptop up to a projector.",UmF0aW5nLTIzMDE1ODA5
University of Delaware - Kathleen McCoy CISC882,CISC882 Computer Science,5,Very good prof. Took 3 classes with her. Tends to give good grades if you give a decent effort. Some classes are focused very much around discussion instead of technical learning ... for better or worse.,UmF0aW5nLTI3MDM5OTIx
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,5,My favorite teacher in all my years at the University of Delaware. She made learning computer science fun.,UmF0aW5nLTE5NDkyNDQx
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,5,"I think she is a good teacher. The course itself is very hard, and it's not teacher's fault. overall, her exam is not hard and the lab score is base on the TA you choose.",UmF0aW5nLTIwMjk1NDQw
University of Delaware - Kathleen McCoy CISC101,CISC101 Computer Science,4,"Very kind and personable professor. She did go a bit slow at times, and I was often ahead of her myself. But it's an intro. class so you can't expect anything else. If anything she's a great professor for true beginners. Exams are easy if you do the practice exams she puts up beforehand. The class itself(labs)is challenging, but in a good way.",UmF0aW5nLTIwMzYwMTAw
University of Delaware - Kathleen McCoy CISC280,CISC280 Computer Science,4,"With any other professor, this class is tough. With her it was a lot easier. I ended up getting an A without much trouble, an impossible feat with other profs. Lectures were from PowerPoint. Homeworks weren't too bad. Tests were hard but not impossible.",UmF0aW5nLTM2MDQzNjQ=
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,5,She is the best teacher I ever had! I wish I could take her for all my classes.,UmF0aW5nLTE5MTkzOTgz
University of Delaware - Kathleen McCoy CISC681,CISC681 Computer Science,1,She is crazy! She is not teaching at all. She is just wasting students time in class and try to arrange extra classes. If you really wanna learn AI avoid her. Try to take from others.Thus I have seen worst TA in my college life.,UmF0aW5nLTE1MTU5NzI4
University of Delaware - Kathleen McCoy CISC108,CISC108 Computer Science,2,"SHe was very nice and very funny.  Class was easy at first, but got really hard really fast.  She was not helpful, was very bad at explaining things and gave really bad examples.  She did not teach us how to do the assignments for the required lab.  Took way too many hours a week and I was barely able to pass the class.",UmF0aW5nLTIwMTg2OTE5
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,"Amazing professor, loved the class would definitely recommend taking her class.",UmF0aW5nLTM2ODI3NDY2
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,Amazing and relatable teacher,UmF0aW5nLTM2ODMwODky
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,Yes,UmF0aW5nLTM2ODI4NjM5
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,"She is a really funny professor who actually interacts with her class, and although the assingments are difficult, you can get good grades if you put much time and effort into them. She gives clear due date for assingments when you are starting it, and her lectures are pretty simple to understand and follow along with as long as you pay attention.",UmF0aW5nLTM2ODI3NjAw
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2341,ENGL2341 English,5,This will be my 3rd time taking this teacher and I can honestly say she makes this clsss so easy and recommended everyone to take her. She cares about her students and wow wow amazing teacher. This class is very easy and she is funny and overall gives good lectures ,UmF0aW5nLTM1MjA0OTU3
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,They absolutely love her and her class ,UmF0aW5nLTM2ODI3NjU1
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,amazing professor! would love to have her again,UmF0aW5nLTM2ODQ0ODkx
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,She gives you good feedback and understands your work. Just be prepared to write a lot. Overall a great professor and I would take it again.,UmF0aW5nLTM2ODI4NjYx
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2341,ENGL2341 English,5,A great professor ,UmF0aW5nLTM2OTM2NzY3
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2341,ENGL2341 English,5,Mrs. Trevino makes her classes fun and is amazing at what she does. There's no one like her she's truely one of a kind.,UmF0aW5nLTM2OTM0ODQ5
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2341,ENGL2341 English,5,This professor gives a good amount of assignments and is very fair.,UmF0aW5nLTM2OTM0ODc4
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2341,ENGL2341 English,5,"Ms. Trevino is an hilarious professor and one of the best I've ever had. Her humor makes her classes all the more fun. Her assignments aren't difficult nor stressful at all like other English teachers' work might be. If I could, I would take her classes again. 10/10",UmF0aW5nLTM2OTM5OTA4
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL1301,ENGL1301 English,5,Great professor. Do your work well and on time. Attend class as some grades are participation.,UmF0aW5nLTM2ODMyMzE1
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,Definitely would recommend this professor if you are taking this course. The professor makes the dates of deadlines clear so you can be ready with your assignment. Grades fair depending on the amount of effort you put.,UmF0aW5nLTM2ODQ1MDAy
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2341,ENGL2341 English,5,She is a great teacher who I comprehended most material very well from,UmF0aW5nLTM2OTEyMzA5
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,Gives you essay to write but a great professor.,UmF0aW5nLTM2ODI4NzAw
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2321,ENGL2321 English,5,"One will probably not be overwhelmed with assignments. If you have any questions or need to reach Ms. Trevino, she answers her emails  really fast. She really does read your assignments and leaves touching feedback. Definitely make the effort to complete the weekly assignments or else your grade will take a hit.",UmF0aW5nLTM2ODk5MDQ1
South Texas College - Mid-Valley Campus - Rosa Trevino ENG1301,ENG1301 English,5,Amazing lectures,UmF0aW5nLTM2ODMwODYx
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2341,ENGL2341 English,5,I really like this professor. She makes English not boring ,UmF0aW5nLTM2OTEyNDMx
South Texas College - Mid-Valley Campus - Rosa Trevino ENGL2341,ENGL2341 English,5,She is really understanding and gives us enough time to turn in work. ,UmF0aW5nLTM2OTEyNTg0
First Response Training Group - Kyle Dehne HUMCORE1A,HUMCORE1A Medicine,3,"His lectures were a little harder to follow, but he still presented good points. He also got creative with interpreting pictures and relating it to the books. A lot of people favored him over Hart and Van Sant.",UmF0aW5nLTExNTIxNjg3
First Response Training Group - Kyle Dehne HUMCORE1ALECT,HUMCORE1ALECT Medicine,4,Professor Clark was helpful even though lectures were a bit dry.  He gives a good background to the work he is covering and helps you understand the history of the time.  Worth going to lecture for sure!  He is a very knowledgeable instructor.,UmF0aW5nLTExMjI2ODM0
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,Kyle is by far the best teacher and motivator I have ever had. I took the 5 week EMT class in June 2019 and I have never experienced such great lectures and passion for medicine. He has left a lasting impact on my life and has taught me invaluable character traits and the importance of hard work. Thank you Kyle and First Response for everything!,UmF0aW5nLTMyMDc0OTMy
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,"Professor Kyle, is extremely intelligent. He is dedicated, very passionate about emergency medicine and goes far and beyond for his students. He has high expectations for his students and pushes you to be your very best. He will challenge you, and prepare you to be competent in the field.",UmF0aW5nLTMyMDYzNzY2
First Response Training Group - Kyle Dehne HCC1A,HCC1A Medicine,3,"Okay, what was with the maps&#63; Half of his lectures were dedicated to unnecessary historical and geographical background. He was an okay lecturer, but not really interesting. At all.",UmF0aW5nLTExMTEzMTc0
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,"Kyle is the smartest, most patient, dedicated, hard working, most inspirational instructor Ive ever had. Would recommend him to every future student. :)",UmF0aW5nLTM0MzYzMDY3
First Response Training Group - Kyle Dehne E81,E81 Medicine,4,Instructor Kyle pushes his students to reach excellence. He stays after hours to tutor students in any area they are weak in. He prepares his students for the real world and shares valuable advice for working in the field.,UmF0aW5nLTMyMDczNDM1
First Response Training Group - Kyle Dehne HUMCO1A,HUMCO1A Medicine,5,He really knows his stuff but can be pretty boring at times. He's not the relaxed type and always starts lectures a couple of mins early so get there early! He always gives a lot of background to what is being read and is into studying art related to the work. He also likes to read from the book...aloud in class....a lot.,UmF0aW5nLTEyNDY3NzQ5
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,"Instructor Kyle is one of the best instructors I've ever had. He cares so much about his students and will do anything to make sure they are prepared for success. From real world applications to tutoring sessions after class, he wants to be sure that you are ready not just to pass and graduate, but to thrive and excel in the EMS field.",UmF0aW5nLTMyMDc0OTU0
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,Kyle was one of the most caring instructors I have ever had. He used his personal time to stay after class and help all students who needed it. He constantly inspired me to work harder and I would not have passed this vigorous course without him.,UmF0aW5nLTMyMDc0OTM4
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,Easiest 5 weeks of my life thanks to him,UmF0aW5nLTMyMDc0OTM2
First Response Training Group - Kyle Dehne HUMCORE,HUMCORE Medicine,4,"An engaging and interesting lecturer. His lectures were coherent, creative, and memorable.",UmF0aW5nLTExMTMzODU5
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,"This instructor is one of the best instructors in the school, he presses you to the maximum so that you reach a level of emotional control to the point that you can manage to manipulate any situation in the real world to the point that in the final evaluation you feel a lot of confidence in yourself , I recommend this instructor for any future EMT",UmF0aW5nLTMyMDc0OTMz
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,Kyle is a great guy. He possesses a great knowledge and understanding of the emergency field. The man has taught me a lot.,UmF0aW5nLTMyMDczNjA0
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,I am honestly a really straight-faced student and nothing makes me laugh. I walk into the class with a mentality that the instructor never cares about me so why should I care about them. Instructor Kyle has made lecture something I enjoy as well as something I look forward to. I truly would like all students from FRTG to experience someone like him,UmF0aW5nLTMyMDczNDM0
First Response Training Group - Kyle Dehne PHDEXAMS,PHDEXAMS Medicine,5,Can make your blood freeze during the orals but definitely motivates you to know your stuff.  An expert on both colonial and 20c American lit.  Good to have on your dissertation committee b/c he's so well-connected professionally.,UmF0aW5nLTExMjI4Nzcw
First Response Training Group - Kyle Dehne HUMCORE1A,HUMCORE1A Medicine,5,"He was an okay lecturer, he spoke loadly and knew his material, even though at times he could be a bit boring.",UmF0aW5nLTExNTEwNjk5
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,"Instructor Kyle is very motivational, respectful, and enthusiastic teacher. His lectures are filled with real world examples and he excels at breaking down complicated concepts into simple ideas. Additionally, Kyle is always willing to stay later and host tutoring sessions outside of class because he truly cares about students succeeding.",UmF0aW5nLTMyMDczMzA1
First Response Training Group - Kyle Dehne HUM1A,HUM1A Medicine,4,"Not as clear as the other lecturers, didn't talk directly about the texts as much.  Lectures were pretty easy to follow.",UmF0aW5nLTExNTIzMTc3
First Response Training Group - Kyle Dehne E81,E81 Medicine,5,"Kyle Dehne is an amazing professor. He is passionate, enthusiastic and extremely dedicated to share his knowledge. He is all about real life application and making sure that you will be prepared to do your best as well. He will stay with you till you understand everything and wants everyone to succeed more than anything.",UmF0aW5nLTMyMDczMzc1
Indian Hills Community College - C Walker HUMH1B,HUMH1B Mathematics,5,Very clear and concise lecturer. He improved my comprehension and understanding of the texts in HumCore.,UmF0aW5nLTEyOTQyOTQ5
Indian Hills Community College - C Walker HUMCORE,HUMCORE Mathematics,5,Professor Clark's lectures were the most interesting this quarter. He used a lot of visuals and had great connections between the three books he covered. He was very interesting and I would definitely recommend him.,UmF0aW5nLTEyNTIwMDcx
Indian Hills Community College - C Walker STATS,STATS Mathematics,5,She's a great teacher. Her tests are not hard if you go over your notes. She has clear notes on board.,UmF0aW5nLTIyNDYwODY=
Indian Hills Community College - C Walker MATH156,MATH156 Mathematics,3,"Statistics with Professor Walker was not the easiest but not the hardest. As long as you put forth the effort, take notes, and do your homework, you will be fine. She definitely knows what shes talking about!",UmF0aW5nLTMyOTExNjQ5
Indian Hills Community College - C Walker HUMCO1A,HUMCO1A Mathematics,3,"He was more helpful than Van Sant, however still boring, sometimes unclear, but very very intelligent. With his lectures I think its best to bring a recorder then play it back! He brings up interesting points , but honestly iin the morning its hard to follow.",UmF0aW5nLTEyNTk2MTg2
Indian Hills Community College - C Walker MAT110,MAT110 Mathematics,4,"Not bad at all! As long as you're comfortable with reading your textbook and teaching yourself how to do the equations (which are really pretty simple), you don't even have to interact much with the teacher. You can work through the homework as many times as you want until you get a 100%, the quizzes are open note, tests aren't hard if you review.",UmF0aW5nLTI3MDY4MTcw
Indian Hills Community College - C Walker HCORE1A,HCORE1A Mathematics,4,"you reallyyyy have to pay attention in his lectures because his outline for his notes are very minimalist. he uses a LOT of pictures and he seems like a way chill person. overall, a pretty good lecturer",UmF0aW5nLTEyNjMzMjg5
Indian Hills Community College - C Walker MATH101,MATH101 Mathematics,5,Overall a good teacher. Moves quickly so if you don't fare well in that environment might want to take with another teacher. Tests were nothing to worry about as long as you came to class and took notes. Writes clear noted on the board and explains things well. Probably one of the better math classes I've taken.,UmF0aW5nLTE0MTAzNDYx
