Teacher Name,Department + Class,Rating,Comment,Rating ID
Imperial Valley College - . Fisher HIST120,HIST120 History,3,really nice lady always ready to help anyone that needs it...but my god is she boring...hardly any work,UmF0aW5nLTEzMzM1MjU2
Imperial Valley College - . Fisher HIST121,HIST121 History,5,She is a very nice lady. You knew what she wanted and you got a good grade if you gave it to her.,UmF0aW5nLTE0NTc4NjAy
Imperial Valley College - . Fisher HIST120,HIST120 History,5,"Changed tactics a bit. She assigns one paragraph based on lecture. Also, she assigns four essays based on a reading book. Funny, makes class interesting, and  really not hard if you put time into it.",UmF0aW5nLTE4NzQ0MTQw
Imperial Valley College - . Fisher HIS120,HIS120 History,5,VERY GOOD TEACHER!!! REALLY LAID BACK.  WE WATCHED A LOT OF MOVIES. I HIGHLY RECOMMED HER,UmF0aW5nLTExNDIyNTkx
Imperial Valley College - . Fisher HIST101,HIST101 History,5,VERY EASY!,UmF0aW5nLTE1ODU3Njk3
Imperial Valley College - . Fisher HIST121,HIST121 History,4,"very easy class. just follow the syllabus, and the tests",UmF0aW5nLTE4MTI1NTA2
Imperial Valley College - . Fisher HIST121,HIST121 History,5,"She is no longer an &quot;easy A&quot;. You actually have to try your hardest to get an A. Every day you show up is worth 20 points OR she will ask for you to write an essay at the end of class based on that day's lecture, which is worth 20 points. She expects 100% college written paragraphs. I got an A but can tell you that I really tried my hardest for it",UmF0aW5nLTE4NzUxNjE3
Imperial Valley College - . Fisher HIST110,HIST110 History,4,Extremly easy,UmF0aW5nLTE0NTE5ODg1
Imperial Valley College - . Fisher HIST121,HIST121 History,3,"VERY easy A...but sadly very little knowledge is gained from Mrs. Fisher's History class. I literally had many times when I slept during half of the class, but ironically I passed with an A. Funny how that works in school hmm&#63;",UmF0aW5nLTE4MTA1MDI5
Imperial Valley College - . Fisher HIST111,HIST111 History,4,"Super easy to pass. I don't see how you could fall. I never took notes, never read anything, you don't even need the book. Do the book report, do the crossword puzzles and you'll pass. She's fun and interesting to talk with, very upbeat, and it was all around and fun and really easy class.",UmF0aW5nLTE2MTU2ODE1
Imperial Valley College - . Fisher HISTORY121,HISTORY121 History,5,"Very nice teacher! It was an easy class & as long as you pay attention, you'd get it. The movie she showed us was great.",UmF0aW5nLTExNjQ4NzAx
Imperial Valley College - . Fisher HIS72,HIS72 History,4,mrs.fisher is hot,UmF0aW5nLTE1NjY3NDUz
Imperial Valley College - . Fisher HIST101,HIST101 History,4,"she's so sweet. as long as you go  to her class, do the crosswords and the book review you should be good. and make sure you study for the tests. they're similar to the crossword clues. i really liked her class.",UmF0aW5nLTEzMzQ2NjQ0
Imperial Valley College - . Fisher HIST110,HIST110 History,5,I really recommend this teacher! Awesome teacher!,UmF0aW5nLTE4ODIzNDQy
Imperial Valley College - . Fisher HIST121,HIST121 History,5,very easy class ....just listen and do the hmwk it will help for the midterm and final..she is hot ....,UmF0aW5nLTE3MzkxNzU1
The Schulich School of Business - York - Margaret Hastings 6140G,6140G Marketing,2,"Her grading makes no sense at all. She has a different rubric for grading that she does not share with the class. She teaches well and you'll learn, but chances are you will be disappointed with your grade. She also won't meet you outside of class and sometimes won't even reply to your email. Not very accommodating.",UmF0aW5nLTM0ODQ0MjA0
The Schulich School of Business - York - Margaret Hastings MGMT6150M,MGMT6150M Marketing,1,Very bad grader. Class and assignments are completely different. Worked so hard and got a B- (the lowest grade in my entire MBA). And I was in the top few of the class. More than half the class was given C+ or lesser. Assignments will take up most of your time in the week only to be not at all related to the class. Never take her classes!!!,UmF0aW5nLTM0OTgxMzQx
The Schulich School of Business - York - Margaret Hastings MGMT6150M,MGMT6150M Marketing,1,Man she stinks!! Nepotism is rampant. Everything said by the prior MBA candidate is smack on!!,UmF0aW5nLTM3MTg5OTg2
University of Wisconsin - Fond du Lac - Donald Schwartz POL104,POL104 Political Science,1,Learned nothing in class.  He used the entire class to discuss modern politics and we never even opened the book.,UmF0aW5nLTE5NDYxODA3
University of Wisconsin - Fond du Lac - Donald Schwartz POL101,POL101 Political Science,4,Schwartzie is awesome!!! just dont expect him to hold your hand through the course,UmF0aW5nLTE4MjU2NjMx
University of Wisconsin - Fond du Lac - Donald Schwartz POL104,POL104 Political Science,1,Very unclear expectations and it feels like the course was put together on the fly.  Not educational at all and he grades overly hard with no feedback throughout the semester.,UmF0aW5nLTIwMTgyNzg1
University of Wisconsin - Fond du Lac - Donald Schwartz LEC100,LEC100 Political Science,5,I took a one credit class with him. He was very nice and let us talk out political issues as a class.,UmF0aW5nLTIwNzgxNzYx
Oregon State University - Gregory Rorrer CHE212,CHE212 Chem Bio & Envr Engineering,2,"Knows the material well, but personality wise, this guy sucks!  He doesn't help when you go to office hours, he just made me feel stupid.  People that do really well seem to like him because they don't ever have to ask questions.  Not fair to all students",UmF0aW5nLTE3OTc3NjU=
Oregon State University - Gregory Rorrer CHE520,CHE520 Chem Bio & Envr Engineering,1,"Brusque, off-putting, arrogant, and unapproachable. Total lack of Canvas aptitude. Lectures from self-written several-hundred-page poorly organized document with numerous errors by hand-writing copious dense mathematics (introducing further errors). As a PhD student, I'm literally being paid to take this class and I still loathe every second of it.",UmF0aW5nLTM2MDUyODk2
Oregon State University - Gregory Rorrer CHE333,CHE333 Chem Bio & Envr Engineering,5,"Dr. Gregory &quot;i'm not your buddy&quot; Rorrer is the best prof at OSU. Clear, precise in his language, unassuming, and extremely smart.",UmF0aW5nLTEwNDQ2MTAw
Oregon State University - Gregory Rorrer CHE332,CHE332 Chem Bio & Envr Engineering,5,Dr. Rorrer is an AWESOME teacher! I really wish more instructors taught like him. He presents and explains things in a very logical format. He has really created an excellent learning atmosphere. Kudos Dr. Rorrer. You Rock!,UmF0aW5nLTE0MDk2NjQx
Oregon State University - Gregory Rorrer CHE333,CHE333 Chem Bio & Envr Engineering,4,rorrer is a good teacher as long as you never have to talk to him.  go find the ta or other students who know the material.  he generally presents the mass transfer material in a clear easy to understand manner,UmF0aW5nLTEwODkxNTE4
Oregon State University - Gregory Rorrer CHE212E,CHE212E Chem Bio & Envr Engineering,1,No Comments,UmF0aW5nLTU5MzA1Mg==
Oregon State University - Gregory Rorrer ENGR333,ENGR333 Chem Bio & Envr Engineering,3,"Decent teacher, not very helpful one-on-one though.  Has trouble answering students' questions.  Knows his stuff.  Don't worry about turning in the notecard with your picture on it; I never turned mine in and he never figured it out (I wasn't called on the entire term).",UmF0aW5nLTEwNDY2NTE1
Oregon State University - Gregory Rorrer CHE332,CHE332 Chem Bio & Envr Engineering,5,"Dr. Rorror gets how to teach an engineering class: Multiple perspectives on material (text book, course packet and great class notes) and tons of inclass examples. He gives lots of extra credit but his tests are pretty hard. He's easy to listen to, plus his wife bakes the class cookies.",UmF0aW5nLTE1NTgzMjk0
Oregon State University - Gregory Rorrer ENGR333,ENGR333 Chem Bio & Envr Engineering,5,"Very organized. A little intimidating. Brings cookies. :) As long as you stay on top of the course material, you shouldn't have any trouble following along.",UmF0aW5nLTExNzE0ODg1
Oregon State University - Gregory Rorrer CHE212,CHE212 Chem Bio & Envr Engineering,5,No Comments,UmF0aW5nLTk3MTQ1OQ==
Oregon State University - Gregory Rorrer CHE332,CHE332 Chem Bio & Envr Engineering,5,He is good a professor..He might make some minor mistakes on chalkboard  but he would say that he is dyslexic..he is really helpful during his office hours..One of my favts..,UmF0aW5nLTE1NDQ3MzA4
Oregon State University - Gregory Rorrer CHE333,CHE333 Chem Bio & Envr Engineering,1,OSU need to find a better professor.. his lectures are not clear-might as well skip class and study on your own youd gain the same amount of knowledge... impatient with students especially during office hours- based on personal experience,UmF0aW5nLTMwMjI2NDgx
Oregon State University - Gregory Rorrer CHE212,CHE212 Chem Bio & Envr Engineering,5,"really good professor, but i must question his sexuality! still a question mark; i'm really curious about his intentions of those self photos that he requested from us at the beginning of the term. just playing, don't worry he doesn't bite! cool guy!",UmF0aW5nLTE1NDg3MTI=
Oregon State University - Gregory Rorrer ALL,ALL Chem Bio & Envr Engineering,5,The man rocks the bad house. One of my favorite professors of all time.,UmF0aW5nLTEwNzY3MDc4
Oregon State University - Gregory Rorrer CHE332,CHE332 Chem Bio & Envr Engineering,2,"Often makes mistakes on the chalk board, and makes comments such as, &quot;OK, is balance restored to your universe now&#63;&quot; if said mistakes are pointed out to him. Very meticulous, but still makes errors. Writes low on the board where only the first few rows can read. Overall, I do not enjoy being his student.",UmF0aW5nLTE1NDAwOTMw
Oregon State University - Gregory Rorrer CHEME212,CHEME212 Chem Bio & Envr Engineering,5,"A seemling tough guy, but his tests are standard ChemE ones.",UmF0aW5nLTExMjE2Mjc=
Oregon State University - Gregory Rorrer ENGR333,ENGR333 Chem Bio & Envr Engineering,5,I enjoyed him very much as a professor however his personality does take some getting used to. However he writes very fair tests which is hard to find.  And its nice to finally have a transport prof. whose native language is English.,UmF0aW5nLTIxNzA0MTI=
Oregon State University - Gregory Rorrer CHE212,CHE212 Chem Bio & Envr Engineering,5,No Comments,UmF0aW5nLTk3NzczNg==
Oregon State University - Gregory Rorrer MASSTRANSFER,MASSTRANSFER Chem Bio & Envr Engineering,4,No Comments,UmF0aW5nLTEwNzM5OTc5
Oregon State University - Gregory Rorrer CHE333,CHE333 Chem Bio & Envr Engineering,1,"Get ready to be docked for ticky-tacky things on homework, receive slow/no feedback on homework/studios, and and learn from chapters he himself wrote which are rife with errors and redacted paragraphs. He is a terrible lecturer (drones on from course packet rather than doing anything useful). This was my 1st and likely only review (he's that bad).",UmF0aW5nLTMzMzIxMjY1
University of Connecticut Avery Point - R Holzworth PSYCH,PSYCH Psychology,5,No Comments,UmF0aW5nLTEwODcwNjgy
University of Connecticut Avery Point - R Holzworth PYSC131,PYSC131 Psychology,1,Horrible. He rambles on and on and uses baseball analogies. His exams are HARD. he expects you to know way more then he teaches. you will have to READ...and even then you'll proabably still get a C,UmF0aW5nLTEyMjI1OTIy
University of Connecticut Avery Point - R Holzworth PSYCH132,PSYCH132 Psychology,2,"I took both pysch one and two with him, psych twos easier but they're both really hard. If your late he's guaranteed to call you out or stare you down. His tests are are incredibly difficult no matter how hard you study so you have to take good notes and make sure you read, he gets a lot of questions from the reading. Hes nice but really confusing",UmF0aW5nLTE2MDA2NzUy
University of Connecticut Avery Point - R Holzworth PSYCH1000,PSYCH1000 Psychology,2,"his teaching is horrible. his tests are very difficult and not amount of studying or attending class will help your grade. on top of it, he's VERY rude when you disucuss  progress in his class",UmF0aW5nLTE1NjM5Nzc4
University of Connecticut Avery Point - R Holzworth PSYC2100,PSYC2100 Psychology,4,"I had Dr. Holzworth for Psych I, II, and research methods. His tests are challenging, but he'll go out of the way to help you. If you do the work, you'll do fine. I would recommend him as a professor or advisor",UmF0aW5nLTE2OTQzMTcz
University of Connecticut Avery Point - R Holzworth PSYC1134,PSYC1134 Psychology,4,"I like him a lot.  You do have to pay attention to the sometimes dry material, but it's not his fault.  He goes out of his way to help.  Just don't come late to class, he hates that.  Other than that, I would recommend him as an advisor or teacher wholeheartedly.",UmF0aW5nLTE0OTEyNjYz
University of Connecticut Avery Point - R Holzworth PSYC132,PSYC132 Psychology,3,"Awesome teacher, hard tests though. make sure you read",UmF0aW5nLTExNDIwMjc2
University of Connecticut Avery Point - R Holzworth PSYCH132,PSYCH132 Psychology,5,Good class to take and good professor to have.  Makes class very interesting.  Exams are pretty tough thought and he expects you to know lot more then he teaches in the class.  All you need to do is keep up with the reading and you'll be fine!,UmF0aW5nLTI1NTk4ODk=
Coastal Pines Technical College - Peggy Christiana ALHS1040,ALHS1040 Nursing,2,"get ready to study what she gives you, but none of it is on the test. very hard to pass with the study guides she gives you",UmF0aW5nLTI5OTU4NDYy
Arizona Western College - Tim Smith AJS225,AJS225 Criminal Justice,2,This class is mostly taught by Cengage. There are required papers for which instructions given are vauge. Grading is marked as &quot;tough&quot; because there is no clear expectations. ALL communication in this class is done via an app and your questions can bee seen - text message style - by everyone. A direct response to your question is unlikely.,UmF0aW5nLTMyNTc5MDUx
Arizona Western College - Tim Smith ALLAJSCLASSES,ALLAJSCLASSES Criminal Justice,1,"Not a good teacher, a cool dude though. He spends most his time telling stories about when he was in the police department. Notes are useful, and gives assignments off topic to what the class is about.",UmF0aW5nLTIyMTUwMDc0
Arizona Western College - Tim Smith AJS101AJS225,AJS101AJS225 Criminal Justice,5,"This is the best professor if you actually want to be something in life and put effort into it. He may seem tough, but if you struggle, don't be afraid to reach out to him after class. He will gladly help you out and act as a guide to your success. He is extremely friendly on one to one conversations.",UmF0aW5nLTI1OTY1Njkz
Arizona Western College - Tim Smith AJS101,AJS101 Criminal Justice,2,Gets off topic easily,UmF0aW5nLTI3NDc4ODk4
Arizona Western College - Tim Smith 109,109 Criminal Justice,5,His online courses are to some extent hard because he only gives 10 min to complete quizzes for an entire ch.. in the otherhand his face to face courses are very interesting and helpful. they are also easy and fun,UmF0aW5nLTIxNzcyOTM4
Arizona Western College - Tim Smith AJS101,AJS101 Criminal Justice,1,Cant teach a class ,UmF0aW5nLTI1MjM1MTA4
Arizona Western College - Tim Smith AJS109,AJS109 Criminal Justice,1,"He is very very hard do not listen to the other feedback on how easy he is because he is not. I have a feeling by the way he teaches and the way he speaks in class, he did most of the positive feedback for himself. I have taken 5 classes for myself he will help you when you ask, but his quizzes and test are very hard.",UmF0aW5nLTIxOTQ5ODc4
Arizona Western College - Tim Smith AJS101,AJS101 Criminal Justice,2,"I never had a professor be such a tough grader like he is. I was absent 3 times during a semester and my grade went down tremendously. Don't expect to get an email back from him, if you need help ask him in person instead. The only positive thing is that some lectures were interesting, but either way I wouldn't recommend him as a professor.",UmF0aW5nLTI2MTk1OTcz
Arizona Western College - Tim Smith CRIMINALJUSTIC,CRIMINALJUSTIC Criminal Justice,5,Great Class I am really enjoying it.,UmF0aW5nLTEwNDg0NjEy
Arizona Western College - Tim Smith AJS101,AJS101 Criminal Justice,5,"I honestly have no clue why professor Smith has so many poor ratings. Ive taken three classes with him, all passed with an A. He is not a tough grader, if you do the work and show up to class you will easily pass. He appreciates participation, so if you want to never show up or just sit on your phone in class, dont take him.",UmF0aW5nLTMxNzcyMDQz
Arizona Western College - Tim Smith ACJ,ACJ Criminal Justice,5,No Comments,UmF0aW5nLTEwMzM5MTgx
Arizona Western College - Tim Smith ALLCJS,ALLCJS Criminal Justice,5,No Comments,UmF0aW5nLTMzNDI5NDU=
Arizona Western College - Tim Smith AJS230,AJS230 Criminal Justice,1,"He has some great and funny stories he had police department but those stories will not help you what so ever. He does not have a very good teaching method, when it comes to notes write everything even though they are not much help, but its better than nothing. The assignments he gives you have nothing to do with the class, & if he don't like it F",UmF0aW5nLTIyMTUxNjIy
Arizona Western College - Tim Smith AJS101AJS23,AJS101AJS23 Criminal Justice,4,This professor receives a lot of negative feedback for one reason. He actually Does his job. He is one of the few professors who don't care if you're only taking his class because you have to. Participation matters a lot! If you want and easy class and become nothing in life I don't recommend him. if you ever struggle it is very easy to talk to him,UmF0aW5nLTI0OTUyNTc4
Arizona Western College - Tim Smith AJSCLASSES,AJSCLASSES Criminal Justice,2,I have taken 1 class with him that I thought he was helpfull.  But the other classes I find him to be very unhelpfull and not care about his online students at all.,UmF0aW5nLTEwMzEzMzU4
Arizona Western College - Tim Smith AJS002,AJS002 Criminal Justice,5,"This instructor is very caring about his students. I have to admit he's tough, but I think it's because he cares so much about students learning. I did learn a lot from him.",UmF0aW5nLTIwMDA3Mjk1
Arizona Western College - Tim Smith AJS109,AJS109 Criminal Justice,3,"this professor is very hard, SUPER HARD!!! I don't recommend this professor. doesn't give enough time for quizzes and expects for the student to memorize the entire chapter.",UmF0aW5nLTIxNDE1Mjk0
Baker College - P Kidd ACC251,ACC251 Accounting,2,"I would never take one of her classes again. She never worked out any problems, only read the answers from her text. I didn't recieve any tests or homework back until week 9. She gave us the wrong check figures to use for our final project which was worth 450 points. I would recommend taking this class with any other teacher or online.",UmF0aW5nLTE4MzAzOTM4
Baker College - P Kidd ACC101,ACC101 Accounting,5,"Great instructor! Ms. Kidd explains things clearly in a way that I can understand. Very helpful and wants everyone to succeed in the class, but she does point out that she will not pass you on if you do not fully grasp the subject.",UmF0aW5nLTEwNjEwMjYw
Baker College - P Kidd ACCT121,ACCT121 Accounting,1,Don't recommend her for those who never took an accounting class.Loses control of class; forgets she is the teacher. Suggests to ask questions but she insults students who do ask questions.Follows the book word for word. She does't return homework in a timely fashion or emails. Records grades wrong doesn't change the grade as promised.Unorganized,UmF0aW5nLTE4MzY2Nzc5
Baker College - P Kidd ACC101,ACC101 Accounting,5,"Awesome teacher. Will prepare you very well for your work, and will not pass you if she feels you dont grasp the ACC101 concepts. Great sense of humor. Very approachable. Will help you any way she can. Great use of Blackboard. Lots of homework, but hey, it's accounting!  Definately learn the stuff you need to know to advance in the program. AWESOME",UmF0aW5nLTEyNDg1NjUw
Baker College - P Kidd ACCT101,ACCT101 Accounting,2,"If you have a job, family or any other classes avoid this teacher at all costs!! She gives more homework than I have ever had in a class and I am a professional student who works full time. She does not consider the fact that you have put 20-30 hrs into doing a project, only that you have the ending numbers right, she gives a zero for effort!!!",UmF0aW5nLTEyNTMxODE4
Baker College - P Kidd ACC121,ACC121 Accounting,1,She isn't clear at all. Doesn't hand back graded work. Three weeks left and we still don't know what our grade in the class is. Doesn't come prepared to teach the class. She talks in  abbreviations and cryptic messages that only she understands. She doesn't break things down to a easier level for students. Doesn't return email. Avoid her!!!!,UmF0aW5nLTE0OTY2MTQ4
Baker College - P Kidd ACCT1,ACCT1 Accounting,2,not a good teacher,UmF0aW5nLTEzOTY1NDgz
Baker College - P Kidd ACC202,ACC202 Accounting,2,"took server accounting classes with her. she is pretty easy and does teach the material, but hard to get a good understanding of it in real terms",UmF0aW5nLTE2MTYxMDU1
Baker College - P Kidd ACC221,ACC221 Accounting,3,"Managerial Account I was a terrible class. The professor seemed constantly lost. A few times she just dissapeared for 10-20 minutes. Absolutly worthless compared to leffler. It should also be realized she does NOT return emails, Does not Utilize blackboard and you will have NO idea what your grade is until your done with the class.",UmF0aW5nLTE1NDMxMTMx
Baker College - P Kidd ACCTACCT,ACCTACCT Accounting,2,"While she knows accounting very well,it is hard to learn from her. Know the book, prepare for everything that could be on the test. Do all the homework even if its optional and ask many Q's from the homework. The tests are super hard so have a good acct background before taking one of her classes. Its a challenge if that is what U R looking for.",UmF0aW5nLTE4MzI2ODU4
Baker College - P Kidd ACC101102,ACC101102 Accounting,5,"Very pleasant, great sense of humor.  Takes dry material and presents it in a way that makes it bearable.  Not afraid to have fun.  Homework, quizzes, and tests are straight-forward.  No surprises.  Be prepared to work, but hey...it's accounting!",UmF0aW5nLTIxNTQ1MDI=
Baker College - P Kidd ACCT231,ACCT231 Accounting,2,"Ms. Kidd is an okay instructor for Principles of Accounting I, but any higher than that and she is totally lost. She reads out of the book word for word. She doesn't get back to you when you email her for help. I had her for ACCT 101 & 231. She was great for ACCT 101 but for ACCT 231 we had to teach ourselves, she was no help at all.",UmF0aW5nLTE0NTUzOTIz
Baker College - P Kidd ACCTACCT,ACCTACCT Accounting,2,"Most of the previous comments by others is true. Reads directly from boo, knows accounting very well but doesn't really teach, expects a lot out of her students but does not put in much effort. Overall, you need a good accounting background to get an A in her upper level classes.  If you just do the work you'll pass but won't achieve a high grade.",UmF0aW5nLTE4MjEyNDky
Baker College - P Kidd FINAN300,FINAN300 Accounting,3,"Real world accountant and has a good background for finance. This is a hard class regardless of the instructor. She teaches directly from the book but interjects her experiences. You'll should know accounting well to succeed in this class. Hard tests, easy homework, typical papers (10 pages) - grades firm but fair.",UmF0aW5nLTE4NzY5NzIy
Loughborough University - Basu Saha BENGCHEM,BENGCHEM Engineering,5,He was an outstanding teacher. very helpful,UmF0aW5nLTIwMDM3MjY5
West Coast Ultrasound Institute - Edward Griffen OCOM101,OCOM101 Health Science,5,Dr Griffen was a phenomenal teacher and always taught the class to the best of his ability. He'd put everything into perspective for everyone and made the class worthwhile. I HIGHLY recommend him!,UmF0aW5nLTI4MDAwOTQ0
West Coast Ultrasound Institute - Edward Griffen AP203,AP203 Health Science,5,"Dr. Griffen is an extremely intelligent man. He teaches in a way that keeps you engaged, and wanting to learn more. He always had his students' best interests in mind and was always there with a cheesy joke to brighten your day. WCUI will miss him immensely.",UmF0aW5nLTI3OTkyNDcx
West Coast Ultrasound Institute - Edward Griffen AP104,AP104 Health Science,5,I personally did not have Dr. Griffen for AP1. He taught AP1 the same night as my class though. Whenever topics were not clearing discussed in my class I was able to ask Dr. Griffen. Even though I was not one of the students in his AP1 class he went out of his way to help myself along with other students. He was an excellent tutor in AP1.,UmF0aW5nLTI3OTkyMjUy
West Coast Ultrasound Institute - Edward Griffen AP204AP304,AP204AP304 Health Science,5,"Dr. Griffen is a great teacher, he breaks his lectures down so that they are clearly understood by all. He uses mnemonics, pictures and relates everything in ways you may have never thought of. He is always available for reviews or tutoring and genuinely cares about his students, and will do whatever he can to help as long as you help yourself.",UmF0aW5nLTI4MDE2NjA2
West Coast Ultrasound Institute - Edward Griffen OCOM101,OCOM101 Health Science,5,"Dr. Griffen is absolutely spectacular!!! I will definitely take all he has taught me throughout my career. He not only makes himself available for further instruction outside of class hours, but he also takes the time to get to know his students. It was an absolute pleasure being one of his students.",UmF0aW5nLTI4MDAyOTI5
West Coast Ultrasound Institute - Edward Griffen API104,API104 Health Science,5,"Dr G is an amazing teacher. Always willing to help out during class and anytime he's on campus. Always goes far above and beyond to help ensure students grasp the knowledge. Honestly, Dr G's classes were always entertaining and a high point of going to school. I'd have to say throughout any level of school I have had, I learned the most from Dr G.",UmF0aW5nLTI3OTkzMjEy
West Coast Ultrasound Institute - Edward Griffen AP11,AP11 Health Science,5,He really knew how to teach so we retained the information. In my advanced classes I used so much of the information he taught me. A instructor that truely cares about your education.,UmF0aW5nLTI3OTk0OTA1
West Coast Ultrasound Institute - Edward Griffen AP3,AP3 Health Science,5,He was an amazing professor. He really explained things so you could understand them.,UmF0aW5nLTI3OTkyOTg4
West Coast Ultrasound Institute - Edward Griffen BIO203,BIO203 Health Science,5,"Throughout all my 16 years of schooling I have never met such an ambitious, all around amazing professor like Dr. Griffen. Not only did I lean a great deal of knowledge on the subject he taught he also impacted my life in such a positive way. He went above and beyond normal teaching standards to make sure we all learned and believed in ourselfs.",UmF0aW5nLTI3OTkzMzE5
West Coast Ultrasound Institute - Edward Griffen AP3,AP3 Health Science,5,Dr. Griffen is an amazing teacher and I was so lucky to have him for my first class at WCUI. He truly cares about you not just getting a good grade but really grasping a topic. He was so open about his personal life just to help us learn and made a four hour class not only tolerable but enjoyable to be in. He truly respects all his students,UmF0aW5nLTI3OTk0NTQy
West Coast Ultrasound Institute - Edward Griffen AP204,AP204 Health Science,5,Dr. G is an amazing teacher!,UmF0aW5nLTI3OTk3NTY3
